icao,dateYmd,minTemp,maxTemp,prcp,wspd
KATL,20180901,73.00,90.00,0.00,5.50
KATL,20180902,73.00,91.00,0.00,7.70
KATL,20180903,73.00,90.00,0.00,9.80
KATL,20180904,73.00,89.00,0.00,10.10
KATL,20180905,74.00,88.00,0.00,6.30
KLGA,20180901,70.00,79.00,0.00,9.40
KLGA,20180902,70.00,82.00,0.00,7.00
KLGA,20180903,77.00,93.00,0.00,6.90
KLGA,20180904,80.00,93.00,0.00,7.40
KLGA,20180905,79.00,91.00,0.00,8.30
KORD,20180901,72.00,86.00,0.16,7.80
KORD,20180902,70.00,91.00,0.02,9.40
KORD,20180903,70.00,88.00,1.79,6.60
KORD,20180904,71.00,92.00,0.00,7.70
KORD,20180905,69.00,91.00,0.24,12.10
